section,metric,value
SESSION,duration_sec,120.001
SESSION,initial_write_seq,0
SESSION,initial_ring_dropped_counter,0
SESSION,observed_trades,0
SESSION,last_write_seq,0
SESSION,write_seq_delta,0
SESSION,ring_dropped_counter,0
SESSION,ring_dropped_delta,0
SESSION,gap_count,0
SESSION,gap_messages,0
SESSION,committed_mismatch,0
SESSION,crc_mismatch,0
SESSION,payload_mismatch,0
SESSION,next_seq,1
SESSION,observed_ratio,0.0
SESSION,loss_detected,0
SESSION,max_gap_messages_allowed,0
SESSION,max_ring_dropped_allowed,0
SESSION,max_committed_mismatch_allowed,0
SESSION,max_crc_mismatch_allowed,0
SESSION,max_payload_mismatch_allowed,0
SESSION,min_observed_trades_allowed,0
SESSION,session_ok,1
